base_channels,batch_size,degrade_s2,epoch,epochs,record_type,run,seed,test_accuracy,test_f1,test_iou,test_loss,test_precision,test_recall,train_degrade_s2,val_accuracy,val_f1,val_iou,val_loss,val_precision,val_recall,variant
16,8,none,,25,eval,multimodal_none_seed7_eval-none,7,0.9008166701705349,0.8112655184538284,0.6924208268903047,0.24871317545572916,0.7843280014468718,0.8443381592939041,none,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_seed7_eval-patch_after,7,0.8161882471155221,0.6999381892925923,0.5593522225213121,0.40731417139371234,0.6174312033403038,0.853060853193397,none,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_seed7_eval-zero_after,7,0.6319903620967146,0.5680297639438467,0.4200064848536915,0.8020110395219591,0.47681464258201295,0.8613103371162613,none,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_seed7_eval-zero_all,7,0.6859968679922583,0.1020629703738768,0.05808104072126552,0.9512670569949679,0.8561702236501709,0.05849185947248855,none,,,,,,,multimodal
16,8,none,25,25,train,multimodal_none_train-modality_dropout_seed13,13,0.8779770886456507,0.7364988610670833,0.594223003342384,0.2822404470708635,0.8296604027090386,0.6730981741199207,modality_dropout,0.8684521251254593,0.6989584885314669,0.547619303608125,0.2926150808731715,0.8031882256246748,0.636130644818009,multimodal
16,8,noise_after,,25,eval,multimodal_none_train-modality_dropout_seed13_eval-noise_after,13,0.7533355995460776,0.5494139202459315,0.38759956969766596,0.482547339465883,0.6111244907632396,0.5276994603364443,modality_dropout,,,,,,,multimodal
16,8,none,,25,eval,multimodal_none_train-modality_dropout_seed13_eval-none,13,0.8782524532741953,0.7683981887727548,0.6340236541196883,0.2845308747556474,0.7513350594109396,0.7963976645959232,modality_dropout,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_train-modality_dropout_seed13_eval-patch_after,13,0.8421250802499258,0.7191223109487404,0.5722187400858898,0.34460635317696464,0.7060870693195312,0.7540746326896808,modality_dropout,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_train-modality_dropout_seed13_eval-zero_after,13,0.7492686377631278,0.6062618942588136,0.44416577700932997,0.48188475767771405,0.6184246092201209,0.6565204065119421,modality_dropout,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_train-modality_dropout_seed13_eval-zero_all,13,0.741629494561088,0.4907599502252946,0.34581477551487766,0.5449318554666307,0.7087076170294351,0.41933269887538155,modality_dropout,,,,,,,multimodal
16,8,none,25,25,train,multimodal_none_train-modality_dropout_seed21,21,0.8768850962320945,0.7631182060631544,0.625842385602668,0.2958940698040856,0.7670640731113976,0.7701129289068995,modality_dropout,0.877224922180174,0.7444329256820298,0.6028533768433427,0.3000418655574322,0.7740276527845921,0.7331776392145395,multimodal
16,8,noise_after,,25,eval,multimodal_none_train-modality_dropout_seed21_eval-noise_after,21,0.7040013207329631,0.5699046118065519,0.40958506693347513,0.52713742852211,0.5132116245597707,0.7218441049550185,modality_dropout,,,,,,,multimodal
16,8,none,,25,eval,multimodal_none_train-modality_dropout_seed21_eval-none,21,0.8585605621337873,0.7499523831866599,0.6136322762630108,0.32236215141084457,0.6897937184516417,0.8387094099482318,modality_dropout,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_train-modality_dropout_seed21_eval-patch_after,21,0.7933305104573551,0.6729101481669588,0.5210196658958197,0.4017145335674286,0.6051741066893566,0.8003756880502224,modality_dropout,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_train-modality_dropout_seed21_eval-zero_after,21,0.6842718477602345,0.5645031774519237,0.4029203867303956,0.5284472670820024,0.5185002623170697,0.7378954328714636,modality_dropout,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_train-modality_dropout_seed21_eval-zero_all,21,0.7369158709490724,0.5074104436759135,0.3603983157395239,0.5532820158534579,0.717424163420808,0.45792818786705564,modality_dropout,,,,,,,multimodal
16,8,none,25,25,train,multimodal_none_train-modality_dropout_seed7,7,0.8717035364221625,0.7628463573672966,0.6267774031238251,0.30336279173692066,0.7332523270993052,0.8065129273691607,modality_dropout,0.8596007559034541,0.7322259790208179,0.5890867403444857,0.3296157258252303,0.7238082102254831,0.7631567624623697,multimodal
16,8,noise_after,,25,eval,multimodal_none_train-modality_dropout_seed7_eval-noise_after,7,0.7408285494203907,0.5883246058797512,0.4221780320272406,0.4949607517984178,0.5754429981537075,0.6520718375843549,modality_dropout,,,,,,,multimodal
16,8,none,,25,eval,multimodal_none_train-modality_dropout_seed7_eval-none,7,0.8882516931604437,0.7839488794734505,0.6538394959570574,0.2781247877412372,0.7809693565677142,0.7954030752996176,modality_dropout,,,,,,,multimodal
16,8,patch_after,,25,eval,multimodal_none_train-modality_dropout_seed7_eval-patch_after,7,0.8542006457293456,0.7356815629705081,0.5916574219695623,0.3463764852947659,0.7192345530935234,0.7697009316361783,modality_dropout,,,,,,,multimodal
16,8,zero_after,,25,eval,multimodal_none_train-modality_dropout_seed7_eval-zero_after,7,0.7660035733823406,0.6278256537812937,0.4677283476359245,0.47213387820455766,0.6085505434329498,0.7101346025377361,modality_dropout,,,,,,,multimodal
16,8,zero_all,,25,eval,multimodal_none_train-modality_dropout_seed7_eval-zero_all,7,0.720709977326568,0.3377044282846573,0.2250720484004956,0.6001727084318796,0.8815248375888928,0.23720339772340177,modality_dropout,,,,,,,multimodal
